question,document,score,reasoning
Is the certificate tied to the peer review part of the capstone project?,69d122f12e,bad,"The AI answer states that the certificate is tied to the peer-review part, which is not the ground truth. The original says certificates are only awarded for finishing with a live cohort and are not available in self-paced mode; peer review is a requirement because it is only possible during the live course, not the sole tie stated. The AI answer also incorrectly answers 'Yes' to the question. Even though it mentions live cohort and peer-review 3 capstones, its framing contradicts the original and could mislead about the relationship."
Can I still get the certificate if I skipped the first homework?,9f689c185f,good,"The AI answer matches the ground truth: it correctly states that homework is not mandatory, that passing the Capstone project is required for the certificate, and that homework points affect leaderboard rank. Semantically equivalent."
"Is homework required to receive the course certificate, or is the capstone enough?",9f689c185f,good,"The AI answer matches the ground truth: it states that homework is not required and that passing the Capstone project is necessary to receive the certificate. It omits the extra note about homework being recommended and leaderboard points, but that is not essential to the question."
Do I have to do all homework assignments to pass the course?,9f689c185f,good,"The AI answer matches the key point of the ground truth: homework is not mandatory, and passing the Capstone project is required to get the certificate. It omits the leaderboard detail, which is extra and not necessary for semantic equivalence."
How important is homework for the certificate compared to the Capstone project?,9f689c185f,good,"The AI answer matches the ground truth: it clearly states that homework is not required for the certificate, that passing the Capstone project is necessary, and that homework is recommended and contributes to leaderboard rank. No key information is missing or contradicted."
"If homework is optional, what do the homework points affect in the course?",9f689c185f,good,"The AI answer captures the key point that homework points affect leaderboard rank. It omits the unrelated capstone certificate sentence from the ground truth, but that does not affect the question asked about homework points. Semantically equivalent on the relevant part."
Why does the homework keep changing before it’s released?,96286b4be4,good,"The AI answer matches the ground truth: it explains that [DRAFT] means the homework is not ready, that it is only ready when the form is open and the title no longer contains [DRAFT], and that content can still change until then at the student's risk. This is semantically equivalent."
What does it mean if a homework title has [DRAFT] in it?,96286b4be4,good,"The AI answer correctly states that [DRAFT] means the homework is not ready yet and that the content may still change until the form is open and the title no longer contains [DRAFT]. This matches the key points of the ground truth, with no missing essential information."
When can I be sure the homework is actually ready to do?,96286b4be4,good,"The AI answer matches the ground truth: it states that homework is ready only when the form is open and the title does not contain [DRAFT], and it notes that [DRAFT] means not ready and content may still change. This preserves the key meaning with no missing critical information."
"Can I start working on draft homework early, or could it still change later?",96286b4be4,good,"The AI answer preserves the core meaning: draft homework can still change, readiness requires both the form being open and the title not containing [DRAFT], and working early is at the student's own risk. This is semantically equivalent to the ground truth."
How do I know the final homework version won’t be updated anymore?,96286b4be4,good,"The AI answer captures the core conditions for final readiness: the form must be open and the title must not contain [DRAFT]. It also correctly states that content can still change until then. This is semantically equivalent to the ground truth, though it omits the explicit warning that working in advance is at your own risk and that [DRAFT] indicates not ready yet. Those omissions do not change the main answer."
When is llm-zoomcamp going to be offered again next time?,bd31146b0e,good,"The AI answer exactly matches the ground truth, stating that llm-zoomcamp will be offered again in Summer 2027."
Do you know the next run date for the course?,bd31146b0e,bad,"The ground truth gives a specific next run date: Summer 2027. The AI answer says it does not know, which fails to provide the correct information and is not semantically equivalent."
"Is there a planned future offering of this course, and if so when?",bd31146b0e,bad,"The ground truth states a specific planned future offering: Summer 2027. The AI answer says 'I don't know,' which fails to provide the correct information and is not semantically equivalent."
When should I expect the next session of llm-zoomcamp to start?,bd31146b0e,bad,"The ground truth states a specific expected start time: Summer 2027. The AI answer says 'I don't know,' which does not convey the correct information and misses the key point."
What’s the next time this course will be available?,bd31146b0e,good,The AI answer exactly matches the ground truth: 'Summer 2027.' It conveys the same next availability time with no discrepancy.
Where can I find the lectures or videos for this course?,31456f4b5f,good,"The AI answer conveys the same guidance as the ground truth: use the LLM Zoomcamp GitHub repository as the main entry point, open the lesson folders, and find the relevant videos linked at the top of each lesson page. It also correctly notes that the GitHub repo is preferable because it is easier to keep updated than the YouTube playlist. The image reference is omitted, but that is not essential to the answer."
Is there a main place I should start instead of searching YouTube first?,31456f4b5f,good,"The AI answer matches the ground truth: it identifies the LLM Zoomcamp GitHub repository as the main entry point, notes that lesson folders link the relevant videos at the top, and says to start with the repo first rather than YouTube. The extra mention of other docs does not contradict the core answer and is acceptable."
How do I get to the lesson videos from the course materials?,31456f4b5f,good,"The AI answer conveys the same core instructions as the ground truth: use the LLM Zoomcamp GitHub repository, open the lesson folders, and find the relevant videos linked at the top of each lesson page. It omits the extra note about preferring GitHub over the YouTube playlist when in doubt, but that is supplementary rather than essential."
Do the lesson pages include links to the videos somewhere at the top?,31456f4b5f,good,"The AI answer directly states that each lesson page has the relevant videos linked at the top, which matches the key point of the original answer. It omits the note about using the GitHub repository as the main entry point and why, but that extra guidance is not necessary to answer the question asked."
Should I rely on the GitHub repo or the YouTube playlist for the most up-to-date course videos?,31456f4b5f,good,"The AI answer conveys the same key point as the ground truth: the GitHub repo should be used first because it is the main entry point and more up-to-date than the YouTube playlist. It omits the detail about opening lesson folders and finding videos linked on each lesson page, but that is supplementary rather than essential to the question asked."
"Where do I go to keep track of the LLM Zoomcamp syllabus, homework, and deadlines in one place?",20c5a1347e,good,The AI answer matches the ground truth: it points to the LLM Zoomcamp course management platform with the correct URL and says it contains the syllabus/homework/deadlines/progress tracking in one place. No key information is missing or incorrect.
Is there a course page or platform where I can see the current cohort structure and my progress?,20c5a1347e,good,"The AI answer matches the ground truth: it points to the LLM Zoomcamp course management platform and states that it contains the current cohort structure, homework, deadlines, and progress tracking. The extra omission of the final sentence about the process being the same as other DataTalks.Club Zoomcamps does not change the core meaning."
How do I follow the LLM Zoomcamp schedule and check upcoming deadlines?,20c5a1347e,good,"The AI answer includes the correct course management platform link and states that it contains the cohort structure, homework, deadlines, and progress tracking, which matches the ground truth. The extra workflow details are additional but not contradictory. It preserves the key point about using the platform to follow the schedule and check upcoming deadlines."
What should I use to manage homework and monitor progress for this Zoomcamp?,20c5a1347e,good,"The AI answer matches the ground truth: it identifies the LLM Zoomcamp course management platform as the tool to manage homework and monitor progress, and includes the correct link. It preserves the key information about tracking deadlines and progress."
"Does LLM Zoomcamp have a central site for syllabus, deadlines, and course tracking like the other DataTalks.Club zoomcamps?",20c5a1347e,good,"The AI answer matches the ground truth: it confirms the existence of the central course management platform, mentions syllabus/deadlines/homework/progress tracking, and provides the correct URL. This is semantically equivalent."
Do we get live classes or office hours for every module in this course?,d65e05bd7a,good,"The AI answer correctly states that there are no separate live sessions for every module by default, that materials are pre-recorded in the repo, and that live sessions are announced separately. It also mentions asking in Slack and following question guidelines. It omits the optional extra support via AI Shipping Labs, but that is additional detail rather than the core answer to the question asked about live classes/office hours for every module."
"If modules are pre-recorded, how do I ask questions when I get stuck?",d65e05bd7a,good,"The AI answer captures the key point: if you get stuck, ask in Slack and follow the question-asking guidelines, and live sessions are separate/announced separately. It omits the optional AI Shipping Labs mention, but that is extra support rather than required core information. Semantically equivalent to the ground truth for the main question."
"Are there any scheduled live sessions, or are they only announced when available?",d65e05bd7a,good,"The AI answer correctly states the two key points from the ground truth: there are no default scheduled live sessions for every module, and live sessions are announced separately when available. It omits the extra guidance about Slack, asking questions guidelines, and optional AI Shipping Labs, but those are supplemental rather than essential to the question asked."
"Is extra help like regular Zoom office hours available anywhere, maybe as a paid option?",d65e05bd7a,good,"The AI answer captures the key point: optional paid extra support via AI Shipping Labs with regular Zoom office hours, while the core course remains free. It omits some context about no separate live sessions by default and using Slack for questions, but that is not essential to the asked question."
"Does the free course include office hours, or is that only part of the optional community support?",d65e05bd7a,good,"The AI answer matches the ground truth on the key point: the free course does not include regular office hours by default, and office hours are part of the optional paid community support (AI Shipping Labs). It omits some extra details about pre-recorded materials and Slack/questions guidelines, but those are not necessary for the core answer."
Can I count my Bluesky posts toward learning in public credits for the course?,dbf5369006,good,The AI answer matches the ground truth exactly in meaning: it confirms that Bluesky posts count toward learning in public credits for the course. No key information is missing or contradicted.
Are Bluesky posts accepted as part of the learning in public requirement?,dbf5369006,good,The AI answer matches the ground truth exactly in meaning: it confirms that Bluesky posts are accepted for learning in public credits. No key information is missing or altered.
"If I share course progress on Bluesky, does that qualify for learning in public credits?",dbf5369006,good,The AI answer matches the ground truth exactly in meaning and wording: it confirms that sharing course progress on Bluesky qualifies for learning in public credits.
Is Bluesky one of the platforms I can use to earn learning in public credit?,dbf5369006,good,The AI answer matches the ground truth exactly in meaning and wording: it confirms that Bluesky posts can be used for learning in public credits.
Do Bluesky updates about the course count for the public learning credits?,dbf5369006,good,The AI answer matches the ground truth exactly in meaning: it says Bluesky posts count for learning in public credits. No key information is missing or altered.
What’s the Telegram channel for LLM Zoomcamp?,054f3fd58f,good,"The AI answer correctly provides the Telegram channel URL for LLM Zoomcamp. It matches the key information from the ground truth. The extra note about using Slack for technical discussion is omitted, but that was not part of the direct question and does not affect correctness."
Can you share the link to the course Telegram group?,054f3fd58f,good,"The AI answer provides the correct Telegram link and matches the core content of the ground truth. It omits the note about using Slack for technical discussion, but the question only asked for the Telegram group link, so this omission does not affect correctness."
Where do I find the LLM Zoomcamp Telegram channel for announcements?,054f3fd58f,good,"The AI answer correctly provides the Telegram channel link for LLM Zoomcamp announcements. It matches the key information in the ground truth, and although it omits the note about using Slack for technical discussion, that extra guidance is not required to answer the question."
"Is there a Telegram channel for LLM Zoomcamp, and what is it used for?",054f3fd58f,good,"The AI answer matches the ground truth: it provides the Telegram channel link and correctly states it is for announcements, while technical discussion/questions should go to Slack."
Should I ask technical questions in the Telegram channel or somewhere else?,054f3fd58f,good,"The AI answer matches the ground truth: Telegram is for announcements, and technical discussion/questions should be in the course Slack channel. It preserves the key guidance and is semantically equivalent."
Why does my FAQ dataset have a different number of records than the one shown in the videos?,e2d595f23c,good,"The AI answer preserves the key point from the ground truth: the FAQ dataset is live, changes over time, and the videos were recorded in May 2026, which explains the differing record count. It is semantically equivalent and includes all essential information."
"Is the FAQ data supposed to stay the same, or can it change after the course videos were recorded?",e2d595f23c,good,"The AI answer preserves the key point: the FAQ data is live and can change over time, with new questions added and old ones deleted, and the recorded count may differ from the videos because they were recorded in May 2026. This is semantically equivalent to the ground truth."
"I followed the notebook exactly, but the record count is off from the lecture — is the dataset live?",e2d595f23c,good,"The AI answer matches the ground truth: it says the FAQ dataset is live, changes over time, and that record counts can differ because the videos were recorded in May 2026. This conveys the same key information."
Why am I seeing more or fewer FAQ entries than the course demo shows?,e2d595f23c,good,"The AI answer conveys the same core explanation as the ground truth: the FAQ dataset is live and changes over time, and the videos were recorded in May 2026 so the count can differ from what is shown in the demo. It preserves the key idea that added/removed questions cause the discrepancy. Semantically equivalent."
"Does the FAQ dataset get updated over time, and could that be why my results don’t match the video?",e2d595f23c,good,"The AI answer preserves the key point: the FAQ dataset is live, changes over time, and that explains discrepancies with the video because the videos were recorded in May 2026. This is semantically equivalent to the ground truth."
Can I still submit the homework if the deadline already passed but the form is still open?,a9353fadfe,good,"The AI answer matches the ground truth: it says submissions are still allowed if the form is open even after the deadline, and no longer allowed once the form is closed. No key information is missing or incorrect."
"The deadline is over, but the homework form is open — is submission still allowed?",a9353fadfe,good,"The AI answer preserves the core meaning of the ground truth: submission is still allowed after the deadline if the form remains open. It omits the extra clarification that submission is no longer possible only once the form is closed, but that does not change the main answer."
"If the submission page hasn’t closed yet, does that mean I can still turn in my answers?",a9353fadfe,good,"The AI answer preserves the core meaning of the ground truth: if the submission form/page is still open, the student can still submit answers. It omits the extra clarification that this can be true even after the listed deadline has passed and that submission is impossible only after the form is closed, but that omission does not change the main answer."
Are late homework submissions accepted as long as the form is still available?,a9353fadfe,good,"The AI answer matches the ground truth: it states that late submissions are accepted while the form remains open, and are not accepted after the form closes. This preserves the key condition and overall meaning."
When does homework submission actually stop — at the deadline or only after the form closes?,a9353fadfe,good,"The AI answer matches the ground truth: submission is allowed after the listed deadline as long as the form remains open, and it stops only once the form is closed. It preserves the key distinction and adds no contradictory information."
"Can I still turn in homework after the deadline if the form is open, or is it already too late?",cdc3b285e5,good,"The AI answer captures the main policy correctly: submissions are allowed while the form remains open, even after the listed deadline, and it is too late once the form closes. It omits the extra details about no individual extensions, no late submissions, and that missing homework doesn't affect the certificate, but those are not required to answer the user's question."
Do you ever give extra time or deadline extensions for homework in this course?,cdc3b285e5,good,"The AI answer correctly states that there are no individual deadline extensions, that submissions are impossible once the form is closed, and that submissions are allowed while the form remains open even after the listed deadline. It omits the additional information about homework not affecting the certificate and only impacting leaderboard rank, but that is extra detail rather than a required key point for this question."
What happens if I miss a homework submission — does it hurt my chance to get the certificate?,cdc3b285e5,good,"The AI answer correctly states that homework is not required for the certificate and that passing the Capstone is what matters. It captures the key point that missing homework does not affect certificate eligibility. It omits details about no late submissions and leaderboard ranking, but those are extra and not necessary for semantic equivalence."
"If I skip one homework, can I still stay on the leaderboard and keep my other scores?",cdc3b285e5,good,"The AI answer captures the key point that homework is not required for the certificate and that other homework scores still count toward leaderboard rank. However, it says ""Yes"" to the question as phrased, which is misleading because the original answer’s nuance is that you can still appear on the leaderboard with other submissions, but there are no late submissions or deadline extensions for the missed homework. Since the question asks if skipping one homework affects leaderboard/status, the core meaning is mostly preserved."
"Once the homework form closes, is there any way to submit late work?",cdc3b285e5,good,"The AI answer correctly states that there are no late submissions after the homework form closes. It omits the extra details about no individual deadline extensions, the fact that submissions are allowed while the form is still open even after the listed deadline, and that homework is not required for the certificate. However, the question only asks whether late work can be submitted, so the core answer matches."
Is the name I enter for the certificate ever visible on the public leaderboard or online anywhere?,651ba06b34,good,"The AI answer correctly states that the certificate name is only shown on the certificate and not published online, and that the public leaderboard uses a separate display name. It captures the core privacy distinction from the ground truth, though it omits the extra detail about the anonymous random nickname and the specific profile-editing fields. Those omissions do not change the meaning."
"Does the certificate name get shared with third parties, or is it kept private?",651ba06b34,good,"The AI answer preserves the key point that the certificate name is private and only appears on the certificate, not shared with third parties. It omits the extra details about the public leaderboard and separate display name, but those are not required for semantic equivalence to the direct question asked."
What name shows up on the leaderboard if I set a different name for my certificate?,651ba06b34,good,"The AI answer correctly states that the leaderboard uses the separate display name/nickname, not the certificate name, and mentions the default random nickname and the Edit Course Profile distinction. This matches the ground truth."
How do I change both my public display name and the name printed on the certificate?,651ba06b34,good,"The AI answer matches the ground truth: it correctly says both names are changed in Edit Course Profile, identifies the first field as the public leaderboard nickname and the second as the certificate name, and preserves the distinction that the real name can stay off the leaderboard while appearing on the certificate. It omits the extra note that the certificate name isn't shared with third parties, but that isn't necessary for equivalence."
Can I keep my real name off the leaderboard but still have it on the certificate?,651ba06b34,good,"The AI answer preserves the key point from the ground truth: you can keep your real name off the public leaderboard while still having it on the certificate by setting separate fields in Edit Course Profile. It accurately identifies the first field as the leaderboard nickname and the second as the certificate name. The only minor issue is that it starts with 'Yes' while the ground truth starts with 'No' to the literal question, but the substantive explanation matches the intended meaning and is semantically equivalent."
Why don't we use LangChain in this course when building RAG apps?,b7cdde6b25,good,"The AI answer matches the ground truth: it explains that the course avoids LangChain initially so students build core RAG pieces themselves, and it uses the same analogy about learning fundamentals before frameworks. No key information is missing or incorrect."
Is there a reason the course makes us build the main RAG pieces by hand instead of using a framework?,b7cdde6b25,good,"The AI answer matches the ground truth closely: it explains that the course intentionally has students build the core RAG components by hand first (prompting, retrieval, indexing, evaluation) for educational reasons, and includes the same HTML/CSS/JavaScript to React/Angular analogy. It preserves the main point that frameworks are easier to use well after understanding the underlying pieces."
"What do we gain by learning prompting, retrieval, indexing, and evaluation before using LangChain?",b7cdde6b25,good,The AI answer captures the same core idea as the ground truth: learn the foundational pieces first to understand what LangChain automates and to use the framework more effectively. It is semantically equivalent and faithful to the analogy about understanding the underlying building blocks before using a framework.
"Wouldn't it be faster to start with LangChain for LLM apps, or is there a learning reason not to?",b7cdde6b25,good,"The AI answer preserves the key points: LangChain is a framework, the course intentionally teaches core LLM app components first (prompting, retrieval, indexing, evaluation), and the analogy to learning HTML/CSS/JS before React/Angular is intact. It answers that there is a learning reason, not just speed."
How does learning the basics first help before moving to tools like LangChain?,b7cdde6b25,good,"The AI answer preserves the key points: LangChain is a framework, the course teaches core LLM app pieces first (prompting, retrieval, indexing, evaluation), and the analogy to learning HTML/CSS/JavaScript before React/Angular is intact. It conveys the same meaning as the ground truth with no substantive errors or omissions."
Why am I getting an OpenAI API error about insufficient credits when I run `responses.create`?,f5df151c59,good,The AI answer correctly identifies that the error occurs because the OpenAI account has insufficient credits/quota and even includes the same error message. The extra troubleshooting steps do not contradict the ground truth. This is semantically equivalent to the original answer.
"What does it mean if `responses.create` fails with ""OpenAI API Error: Insufficient credits""?",f5df151c59,good,The AI answer correctly identifies that the error indicates insufficient account credits/quota and suggests adding credits. The extra note about recreating/updating the API key is not in the ground truth but does not contradict it. The core meaning is preserved.
How can I fix the error I see when using OpenAI `responses.create` in my RAG project?,f5df151c59,good,"The AI answer captures the core cause from the ground truth: insufficient OpenAI credits/quota leading to an API error. It adds extra troubleshooting details, but the main fix—adding credits—is consistent with the original answer. The additional OpenRouter note is not in the ground truth, but it does not contradict the key point."
Is an insufficient credits message the reason my OpenAI `responses.create` command is not working?,f5df151c59,good,"The AI answer preserves the core point of the ground truth: an insufficient credits error can cause `responses.create` to fail, and it includes the same error text. The extra notes about quota/billing and API key recreation are not contradictory to the ground truth, though they go beyond it. Overall, it is semantically equivalent."
What should I check in my OpenAI account if `responses.create` returns an insufficient credits error?,f5df151c59,good,"The AI answer identifies the correct issue: insufficient credits in the OpenAI account, and suggests checking billing/quota/credits. It adds extra advice about adding funds or recreating the API key, which is not in the ground truth but does not contradict it. The key point is preserved."
Why am I getting a 429 RateLimitError from OpenAI even though my code looks fine?,152af39a53,good,"The AI answer captures the core issue: a 429 RateLimitError here is due to insufficient OpenAI API quota/billing, not bad code. It also includes the key remediation steps from the ground truth: add credits, ensure billing, possibly recreate the API key, and use an available model. This is semantically equivalent to the original answer."
"Does OpenAI API have any free quota, or do I need to add billing first?",152af39a53,good,"The AI answer matches the key point of the ground truth: there is no free API quota and billing/funds must be added first. It omits the extra troubleshooting details, but those are not required for semantic equivalence."
"How can I fix the ""insufficient_quota"" error when calling the OpenAI API?",152af39a53,good,"The AI answer conveys the same core fix as the ground truth: the error indicates insufficient API quota/billing, and the remedy is to add credits/fund the account, possibly recreate the API key, and use an available model. It omits the exact 429/RateLimitError wording and the explicit note that there is no free usage, but those are not essential. The final sentence is less helpful, but does not contradict the main answer."
Do I need to change the model name in `responses.create(...)` after adding credits?,152af39a53,bad,"The AI answer does not address the question or the ground truth. The expected answer explains that the 429 error is due to insufficient quota and that after adding credits you may need to use a model available to your account (and possibly recreate the API key), not simply say 'I don't know.'"
"After topping up my account, should I create a new API key for the request to work?",152af39a53,bad,"The AI answer does not address the question or convey the ground truth. The expected answer explains that the issue is quota/billing related, and that after adding credits you may need to recreate/update the API key locally. Saying 'I don't know' misses the key point."
How much do I need to spend to use the OpenAI API for this course?,554d0eb78b,good,"The AI answer preserves the key information from the ground truth: the cost should be very low, you can recharge starting from $5, and initial usage is typically fractions of a cent. This is semantically equivalent."
Is it true I can start with just $5 on the OpenAI API?,554d0eb78b,bad,"The ground truth says yes: you can recharge starting from $5 and usage is very cheap. The AI answer says 'I don't know,' which fails to convey the key information and is not semantically equivalent."
Will I end up paying a lot if I use OpenAI in the course exercises?,554d0eb78b,good,"The AI answer preserves the key point that using OpenAI in the course should cost very little, mentions the $5 recharge, and notes that initial usage is usually fractions of a cent. The extra statement about alternatives does not conflict with the ground truth and is acceptable additional detail."
How expensive is the API usage when following the RAG module?,554d0eb78b,good,"The AI answer preserves the key meaning of the ground truth: API usage for the RAG module should be very cheap, with recharge starting at $5 and typical initial usage costing fractions of a cent. It is semantically equivalent."
What kind of cost should I expect from OpenAI API calls during the course?,554d0eb78b,good,"The AI answer preserves the ground truth that OpenAI API usage for the course should cost very little, that you can recharge starting from $5, and that initial usage is usually fractions of a cent. It adds an extra claim about not needing to pay for the OpenAI API to complete homeworks, which is not in the original but does not contradict the key answer."
"Do I need to pay for the OpenAI API to finish the course homework, or are there free options I can use instead?",85384a18e5,good,"The AI answer preserves the key point: payment for the OpenAI API is not required, and free/low-cost alternatives are available. It adds compatible extra detail about using other providers or local models, which does not change the meaning."
